name,season,age,state,elim,is_censored,is_male
Lisa Whelchel,Philippines,49,TX,39,1,0
Michael Skupin,Philippines,50,MI,39,1,1
Denise Stapley,Philippines,41,IA,39,1,0
Francesca Hogi,Caramoan,38,NY,3,0,0
Allie Pohevitz,Caramoan,25,NY,5,0,0
Hope Driskill,Caramoan,23,MO,7,0,0
Shamar Thomas,Caramoan,27,NY,10,1,1
Laura Alexander,Caramoan,23,DC,10,0,0
Brandon Hantz,Caramoan,20,TX,13,0,1
Matt Bischoff,Caramoan,38,OH,16,0,1
Julia Landauer,Caramoan,21,CA,19,0,0
Corinne Kaplan,Caramoan,33,CA,22,0,0
Michael Snow,Caramoan,44,NY,25,0,1
Phillip Sheppard,Caramoan,54,CA,28,0,1
Malcolm Freberg,Caramoan,25,CA,30,0,1
Reynold Toepfer,Caramoan,30,CA,31,0,1
Andrea Boehlke,Caramoan,23,NY,33,0,0
Brenda Lowe,Caramoan,29,FL,36,0,0
Erik Reichenbach,Caramoan,27,CA,36,1,1
Eddie Fox,Caramoan,23,NJ,38,0,1
Dawn Meehan,Caramoan,42,UT,39,1,0
Sherri Biethman,Caramoan,41,ID,39,1,0
John Cochran,Caramoan,25,DC,39,1,1
Rupert Boneham,Blood vs. Water,49,IN,1,1,1
Colton Cumbie,Blood vs. Water,22,AL,7,1,1
Rachel Foulger,Blood vs. Water,33,UT,6,0,0
Marissa Peterson,Blood vs. Water,21,NC,3,0,0
Candice Cody,Blood vs. Water,30,DC,1,1,0
Brad Culpepper,Blood vs. Water,44,FL,10,0,1
Kat Edorsson,Blood vs. Water,23,FL,16,0,0
John Cody,Blood vs. Water,30,DC,8,0,1
Laura Boneham,Blood vs. Water,44,IN,18,0,0
Aras Baskauskas,Blood vs. Water,31,CA,21,0,1
Vytas Baskauskas,Blood vs. Water,33,CA,22,0,1
Caleb Bankston,Blood vs. Water,26,AL,29,0,1
Katie Collins,Blood vs. Water,25,NY,32,0,0
Hayden Moss,Blood vs. Water,27,TX,35,0,1
Laura Morett,Blood vs. Water,43,OR,26,0,0
Ciera Eastin,Blood vs. Water,24,OR,37,0,0
Tina Wesson,Blood vs. Water,52,NC,38,0,0
Gervase Peterson,Blood vs. Water,43,PA,39,1,1
Monica Culpepper,Blood vs. Water,42,FL,39,1,0
Tyson Apostol,Blood vs. Water,34,UT,39,1,1
David Samson,Cagayan,45,FL,3,0,1
Garrett Adelstein,Cagayan,27,CA,6,0,1
Brice Johnston,Cagayan,27,PA,8,0,1
J'Tia Taylor,Cagayan,31,IL,11,0,0
Cliff Robinson,Cagayan,46,NJ,14,0,1
Lindsey Ogle,Cagayan,29,IN,14,1,0
Alexis Maxwell,Cagayan,21,IL,16,0,0
Sarah Lacina,Cagayan,29,IA,19,0,0
Morgan McLeod,Cagayan,21,CA,22,0,0
LJ McKanas,Cagayan,34,MA,25,0,1
Jeremiah Wood,Cagayan,34,NC,28,0,1
Jefra Bland,Cagayan,22,KY,30,0,0
Tasha Fox,Cagayan,37,MO,33,0,0
Trish Hegarty,Cagayan,48,MA,36,0,0
Spencer Bledsoe,Cagayan,21,IL,37,0,1
Kass McQuillen,Cagayan,41,CA,38,0,0
Woo Hwang,Cagayan,29,CA,39,1,1
Tony Vlachos,Cagayan,39,NJ,39,1,1
Nadiya Anderson,San Juan del Sur,28,NJ,3,0,0
Val Collins,San Juan del Sur,35,MA,6,0,0
John Rocker,San Juan del Sur,39,GA,8,0,1
